verb,agency,power,verb_prep,prep,lemma
abandons,agency_pos,power_agent,abandons,,abandon
abolishes,agency_pos,power_agent,abolishes,,abolish
absorbs,agency_pos,power_agent,absorbs,,absorb
abuses,agency_pos,power_agent,abuses,,abuse
accelerates,agency_pos,power_agent,accelerates,,accelerate
accepts,agency_neg,power_agent,accepts,,accept
accesses,agency_equal,power_agent,accesses,,access
accommodates,agency_pos,power_equal,accommodates,,accommodate
accompanies,agency_equal,power_theme,accompanies,,accompany
accomplishes,agency_pos,power_equal,accomplishes,,accomplish
accords,agency_pos,power_agent,accords,,accord
accounts,agency_equal,power_agent,accounts,,account
accumulates,agency_equal,power_agent,accumulates,,accumulate
accuses,agency_pos,power_agent,accuses,,accuse
aches,agency_neg,,aches,,ache
achieves,agency_pos,power_theme,achieves,,achieve
acknowledges,agency_neg,power_agent,acknowledges,,acknowledge
acquaints,agency_pos,power_agent,acquaints,,acquaint
acquires,agency_pos,power_agent,acquires,,acquire
acquits,agency_pos,power_agent,acquits,,acquit
activates,agency_pos,power_agent,activates,,activate
acts,agency_pos,,acts,,act
adapts,agency_pos,power_agent,adapts,,adapt
addresses,agency_neg,power_equal,addresses,,address
adds,agency_pos,power_agent,adds,,add
adjoins,agency_pos,power_agent,adjoins,,adjoin
adjusts,agency_pos,power_agent,adjusts,,adjust
administers,agency_pos,power_agent,administers,,administer
admires,agency_equal,power_theme,admires,,admire
admits,agency_pos,power_theme,admits,,admit
adopts,agency_pos,power_agent,adopts,,adopt
adores,agency_equal,power_theme,adores,,adore
adorns,agency_pos,power_theme,adorns,,adorn
advances,agency_pos,power_agent,advances,,advance
advertises,agency_equal,power_agent,advertises,,advertise
advises,agency_pos,power_agent,advises,,advise
advocates,agency_pos,power_equal,advocates,,advocate
affects,agency_pos,power_agent,affects,,affect
affirms,agency_pos,power_agent,affirms,,affirm
affixes,agency_pos,power_agent,affixes,,affix
affords,agency_equal,power_agent,affords,,afford
ages,agency_neg,,ages,,age
aggravates,agency_pos,power_theme,aggravates,,aggravate
agonizes,agency_neg,,agonizes,,agonize
agonizes,agency_equal,power_theme,agonizes over,over,agonize
agrees,agency_equal,,agrees,,agree
agrees,agency_pos,power_equal,agrees on,on,agree
aids,agency_pos,power_agent,aids,,aid
aims,agency_pos,power_equal,aims,,aim
alarms,agency_pos,power_agent,alarms,,alarm
alerts,agency_pos,power_agent,alerts,,alert
alleges,agency_pos,power_agent,alleges,,allege
allows,agency_pos,power_agent,allows,,allow
alters,agency_pos,power_agent,alters,,alter
ambles,agency_pos,,ambles,,amble
amends,agency_pos,power_agent,amends,,amend
amuses,agency_pos,power_theme,amuses,,amuse
analyzes,agency_neg,power_equal,analyzes,,analyze
anchors,agency_pos,power_agent,anchors,,anchor
angers,agency_equal,power_equal,angers,,anger
angles,agency_equal,,angles,,angle
animates,agency_equal,power_equal,animates,,animate
announces,agency_pos,power_theme,announces,,announce
annoys,agency_pos,power_agent,annoys,,annoy
answers,agency_equal,power_theme,answers,,answer
anticipates,agency_pos,power_equal,anticipates,,anticipate
apologizes,agency_pos,power_theme,apologizes,,apologize
apologizes,agency_pos,power_theme,apologizes to,to,apologize
appals,agency_equal,power_agent,appals,,appal
appeals,agency_neg,power_theme,appeals,,appeal
appeals,agency_pos,power_theme,appeals to,to,appeal
appears,agency_pos,,appears,,appear
applauds,agency_pos,power_theme,applauds,,applaud
applies,agency_pos,power_agent,applies,,apply
applies,agency_neg,power_equal,applies to,to,apply
appoints,agency_pos,power_agent,appoints,,appoint
appraises,agency_pos,power_agent,appraises,,appraise
appreciates,agency_neg,power_equal,appreciates,,appreciate
approaches,agency_pos,power_equal,approaches,,approach
approves,agency_pos,power_agent,approves,,approve
arches,agency_pos,power_agent,arches,,arch
arcs,agency_pos,power_agent,arcs,,arc
argues,agency_pos,power_equal,argues,,argue
arises,agency_pos,,arises,,arise
arms,agency_pos,power_agent,arms,,arm
arouses,agency_pos,power_agent,arouses,,arouse
arranges,agency_pos,power_agent,arranges,,arrange
arrests,agency_pos,power_agent,arrests,,arrest
arrives,agency_equal,,arrives,,arrive
ascends,agency_pos,power_theme,ascends,,ascend
asks,agency_pos,power_theme,asks,,ask
assails,agency_pos,power_agent,assails,,assail
assaults,agency_pos,power_agent,assaults,,assault
assembles,agency_pos,power_equal,assembles,,assemble
asserts,agency_pos,power_agent,asserts,,assert
assesses,agency_pos,power_equal,assesses,,assess
assigns,agency_pos,power_agent,assigns,,assign
assists,agency_pos,power_theme,assists,,assist
associates,agency_pos,power_equal,associates,,associate
assumes,agency_neg,power_agent,assumes,,assume
assures,agency_pos,power_agent,assures,,assure
astonishes,agency_pos,power_agent,astonishes,,astonish
attaches,agency_pos,power_agent,attaches,,attach
attaches,agency_pos,power_agent,attaches to,to,attach
attacks,agency_pos,power_agent,attacks,,attack
attempts,agency_pos,power_equal,attempts,,attempt
attends,agency_equal,power_theme,attends,,attend
attracts,agency_equal,power_equal,attracts,,attract
attributes,agency_neg,power_agent,attributes,,attribute
authorizes,agency_pos,power_agent,authorizes,,authorize
averts,agency_pos,power_agent,averts,,avert
avoids,agency_pos,power_agent,avoids,,avoid
awaits,agency_neg,power_theme,awaits,,await
awakens,agency_pos,power_agent,awakens,,awaken
awakes,agency_pos,,awakes,,awake
awards,agency_pos,power_agent,awards,,award
babbles,agency_pos,power_equal,babbles,,babble
backhands,agency_pos,power_agent,backhands,,backhand
backs,agency_pos,power_equal,backs,,back
baffles,agency_pos,power_agent,baffles,,baffle
bags,agency_pos,power_agent,bags,,bag
bails,agency_pos,power_agent,bails,,bail
bakes,agency_pos,power_agent,bakes,,bake
balances,agency_pos,power_equal,balances,,balance
balds,agency_neg,,balds,,bald
balls,agency_pos,power_agent,balls,,ball
bandages,agency_pos,power_agent,bandages,,bandage
bangs,agency_pos,power_agent,bangs,,bang
banks,agency_pos,,banks,,bank
bans,agency_pos,power_agent,bans,,ban
barks,agency_equal,power_equal,barks,,bark
barrels,agency_pos,power_agent,barrels,,barrel
bars,agency_pos,power_agent,bars,,bar
bases,agency_pos,power_equal,bases,,base
bashes,agency_pos,power_agent,bashes,,bash
baths,agency_pos,power_agent,baths,,bath
bats,agency_pos,power_agent,bats,,bat
batters,agency_pos,power_agent,batters,,batter
battles,agency_pos,power_agent,battles,,battle
bawls,agency_equal,,bawls,,bawl
beams,agency_pos,,beams,,beam
bears,agency_pos,power_equal,bears,,bear
beats,agency_pos,power_agent,beats,,beat
beckons,agency_pos,power_agent,beckons,,beckon
becomes,agency_pos,power_theme,becomes,,become
beeps,agency_pos,power_equal,beeps,,beep
begins,agency_pos,power_equal,begins,,begin
begs,agency_pos,power_theme,begs,,beg
behaves,agency_equal,,behaves,,behave
beholds,agency_equal,power_theme,beholds,,behold
belches,agency_pos,,belches,,belch
believes,agency_neg,power_theme,believes,,believe
bellows,agency_pos,power_agent,bellows,,bellow
belongs,agency_neg,power_theme,belongs to,to,belong
belts,agency_pos,power_agent,belts,,belt
bends,agency_pos,power_agent,bends,,bend
benefits,agency_neg,power_theme,benefits,,benefit
besieges,agency_pos,power_agent,besieges,,besiege
betrays,agency_pos,power_agent,betrays,,betray
bets,agency_pos,power_equal,bets,,bet
betters,agency_pos,power_agent,betters,,better
bewilders,agency_equal,power_agent,bewilders,,bewilder
bids,agency_equal,power_agent,bids,,bid
billows,agency_pos,,billows,,billow
binds,agency_pos,power_agent,binds,,bind
bites,agency_pos,power_agent,bites,,bite
blackens,agency_pos,power_agent,blackens,,blacken
blackmails,agency_pos,power_agent,blackmails,,blackmail
blames,agency_pos,power_agent,blames,,blame
blanches,agency_pos,,blanches,,blanch
blares,agency_equal,power_equal,blares,,blare
blasts,agency_pos,power_agent,blasts,,blast
blazes,agency_equal,,blazes,,blaze
bleaches,agency_pos,power_agent,bleaches,,bleach
bleeds,agency_neg,,bleeds,,bleed
blends,agency_pos,power_agent,blends,,blend
blesses,agency_pos,power_equal,blesses,,bless
blinds,agency_pos,power_agent,blinds,,blind
blinks,agency_equal,,blinks,,blink
blocks,agency_pos,power_agent,blocks,,block
bloodies,agency_pos,power_agent,bloodies,,bloody
blots,agency_pos,power_agent,blots,,blot
blows,agency_pos,,blows,,blow
blurs,agency_pos,power_agent,blurs,,blur
blurts,agency_pos,power_equal,blurts,,blurt
blushes,agency_neg,,blushes,,blush
boards,agency_pos,power_agent,boards,,board
boasts,agency_pos,power_agent,boasts,,boast
bobs,agency_equal,,bobs,,bob
boils,agency_pos,power_agent,boils,,boil
bolts,agency_pos,,bolts,,bolt
bombs,agency_pos,power_agent,bombs,,bomb
bones,agency_pos,power_agent,bones,,bone
books,agency_pos,power_equal,books,,book
booms,agency_pos,,booms,,boom
boosts,agency_pos,power_agent,boosts,,boost
boots,agency_pos,power_agent,boots,,boot
borders,agency_neg,power_equal,borders,,border
bores,agency_equal,power_equal,bores,,bore
borrows,agency_pos,power_agent,borrows,,borrow
bothers,agency_pos,power_equal,bothers,,bother
bounces,agency_pos,,bounces,,bounce
bounds,agency_pos,power_agent,bounds,,bound
bowls,agency_pos,,bowls,,bowl
bows,agency_pos,,bows,,bow
bows,agency_neg,power_theme,bows to,to,bow
boxes,agency_pos,power_agent,boxes,,box
braces,agency_pos,power_agent,braces,,brace
brakes,agency_pos,,brakes,,brake
brandishes,agency_pos,power_equal,brandishes,,brandish
breaks,agency_pos,power_agent,breaks,,break
breathes,agency_neg,,breathes,,breathe
breeds,agency_pos,power_agent,breeds,,breed
briefs,agency_equal,power_theme,briefs,,brief
brightens,agency_pos,power_agent,brightens,,brighten
brims,agency_pos,,brims,,brim
brings,agency_pos,power_agent,brings,,bring
bristles,agency_equal,,bristles,,bristle
broadcasts,agency_pos,power_agent,broadcasts,,broadcast
broadens,agency_pos,power_equal,broadens,,broaden
broods,agency_neg,,broods,,brood
browses,agency_pos,power_theme,browses,,browse
bruises,agency_pos,power_agent,bruises,,bruise
brushes,agency_pos,power_theme,brushes,,brush
bubbles,agency_pos,,bubbles,,bubble
buckles,agency_pos,power_agent,buckles up,up,buckle
bucks,agency_pos,power_agent,bucks,,buck
budges,agency_pos,,budges,,budge
buffets,agency_pos,power_agent,buffets,,buffet
bugs,agency_pos,power_equal,bugs,,bug
builds,agency_pos,power_agent,builds,,build
bulges,agency_neg,,bulges,,bulge
bumps,agency_pos,power_agent,bumps,,bump
bundles,agency_pos,power_equal,bundles,,bundle
buries,agency_pos,power_agent,buries,,bury
burns,agency_pos,power_agent,burns,,burn
burrows,agency_pos,,burrows,,burrow
bursts,agency_pos,power_agent,bursts,,burst
bustles,agency_pos,,bustles,,bustle
busts,agency_pos,power_agent,busts,,bust
buttons,agency_equal,power_agent,buttons,,button
buys,agency_pos,power_agent,buys,,buy
buzzes,agency_pos,,buzzes,,buzz
cages,agency_pos,power_agent,cages,,cage
cakes,agency_pos,,cakes,,cake
calculates,agency_pos,power_equal,calculates,,calculate
calls,agency_pos,power_theme,calls,,call
calms,agency_pos,power_equal,calms,,calm
camps,agency_pos,,camps,,camp
cancels,agency_pos,power_agent,cancels,,cancel
caps,agency_pos,power_agent,caps,,cap
captures,agency_pos,power_agent,captures,,capture
careens,agency_pos,,careens,,careen
cares,agency_pos,power_equal,cares,,care
caresses,agency_pos,power_equal,caresses,,caress
carries,agency_pos,power_agent,carries,,carry
carves,agency_pos,power_agent,carves,,carve
cascades,agency_pos,,cascades,,cascade
cashes,agency_pos,power_agent,cashes,,cash
casts,agency_pos,power_agent,casts,,cast
catches,agency_pos,power_agent,catches,,catch
causes,agency_pos,power_agent,causes,,cause
cautions,agency_equal,power_agent,cautions,,caution
caves,agency_neg,,caves,,cave
ceases,agency_neg,power_agent,ceases,,cease
celebrates,agency_pos,power_theme,celebrates,,celebrate
centers,agency_pos,power_agent,centers,,center
centers,agency_pos,power_equal,centers on,on,center
chains,agency_pos,power_agent,chains,,chain
chalks,agency_pos,power_agent,chalks,,chalk
challenges,agency_pos,power_agent,challenges,,challenge
changes,agency_pos,power_agent,changes,,change
chants,agency_pos,power_theme,chants,,chant
characterizes,agency_equal,power_agent,characterizes,,characterize
charges,agency_pos,power_agent,charges,,charge
charms,agency_pos,power_agent,charms,,charm
chars,agency_pos,power_agent,chars,,char
chases,agency_pos,power_theme,chases,,chase
chats,agency_pos,,chats,,chat
chatters,agency_pos,,chatters,,chatter
cheats,agency_pos,power_agent,cheats,,cheat
checks,agency_equal,power_agent,checks,,check
cheers,agency_pos,power_theme,cheers,,cheer
chews,agency_pos,power_agent,chews,,chew
chills,agency_equal,power_agent,chills,,chill
chimes,agency_neg,,chimes,,chime
chips,agency_pos,power_agent,chips,,chip
chirps,agency_equal,,chirps,,chirp
chokes,agency_pos,power_agent,chokes,,choke
chokes,agency_neg,power_theme,chokes on,on,choke
chooses,agency_pos,power_agent,chooses,,choose
chops,agency_pos,power_agent,chops,,chop
chuckles,agency_pos,,chuckles,,chuckle
chucks,agency_pos,power_agent,chucks,,chuck
chugs,agency_pos,power_agent,chugs,,chug
churns,agency_pos,power_equal,churns,,churn
circles,agency_pos,power_agent,circles,,circle
circulates,agency_pos,power_agent,circulates,,circulate
cites,agency_pos,power_theme,cites,,cite
claims,agency_pos,power_agent,claims,,claim
clambers,agency_pos,,clambers,,clamber
clamps,agency_pos,power_agent,clamps,,clamp
claps,agency_pos,power_equal,claps,,clap
clarifies,agency_pos,power_equal,clarifies,,clarify
clasps,agency_pos,power_agent,clasps,,clasp
classifies,agency_pos,power_agent,classifies,,classify
clatters,agency_pos,,clatters,,clatter
claws,agency_pos,power_agent,claws,,claw
cleans,agency_pos,power_agent,cleans,,clean
cleanses,agency_pos,power_agent,cleanses,,cleanse
clears,agency_pos,power_agent,clears,,clear
clenches,agency_pos,power_agent,clenches,,clench
clicks,agency_pos,power_agent,clicks,,click
climbs,agency_pos,power_equal,climbs,,climb
clings,agency_pos,power_theme,clings to,to,cling
clinks,agency_equal,,clinks,,clink
clips,agency_pos,power_agent,clips,,clip
cloaks,agency_equal,power_agent,cloaks,,cloak
clocks,agency_neg,power_agent,clocks,,clock
clogs,agency_pos,power_agent,clogs,,clog
closes,agency_pos,power_agent,closes,,close
clothes,agency_pos,power_agent,clothes,,clothe
clouds,agency_pos,power_agent,clouds,,cloud
clusters,agency_pos,power_agent,clusters,,cluster
clutches,agency_pos,power_equal,clutches,,clutch
clutters,agency_pos,power_agent,clutters,,clutter
coats,agency_pos,power_agent,coats,,coat
coaxes,agency_pos,power_equal,coaxes,,coax
coils,agency_pos,power_agent,coils,,coil
collapses,agency_pos,power_agent,collapses,,collapse
collects,agency_pos,power_theme,collects,,collect
collides,agency_pos,,collides,,collide
collides,agency_pos,power_agent,collides with,with,collide
colors,agency_pos,power_equal,colors,,color
combines,agency_pos,power_agent,combines,,combine
combs,agency_pos,power_agent,combs,,comb
comes,agency_pos,,comes,,come
comforts,agency_pos,power_agent,comforts,,comfort
commands,agency_pos,power_agent,commands,,command
commemorates,agency_pos,power_theme,commemorates,,commemorate
commences,agency_pos,power_agent,commences,,commence
comments,agency_pos,power_equal,comments,,comment
commissions,agency_pos,power_agent,commissions,,commission
commits,agency_pos,power_agent,commits,,commit
communicates,agency_equal,power_agent,communicates,,communicate
compares,agency_equal,power_equal,compares,,compare
compels,agency_pos,power_agent,compels,,compel
compensates,agency_pos,power_theme,compensates,,compensate
competes,agency_pos,,competes,,compete
compiles,agency_pos,power_theme,compiles,,compile
complains,agency_pos,,complains,,complain
completes,agency_pos,power_equal,completes,,complete
complicates,agency_pos,power_equal,complicates,,complicate
complies,agency_pos,,complies,,comply
composes,agency_pos,power_agent,composes,,compose
comprehends,agency_pos,power_theme,comprehends,,comprehend
compromises,agency_pos,power_equal,compromises,,compromise
conceals,agency_pos,power_equal,conceals,,conceal
concedes,agency_pos,power_theme,concedes,,concede
conceives,agency_pos,power_agent,conceives,,conceive
concentrates,agency_equal,power_theme,concentrates,,concentrate
concentrates,agency_pos,power_theme,concentrates on,on,concentrate
concerns,agency_equal,power_equal,concerns,,concern
concludes,agency_pos,power_agent,concludes,,conclude
condemns,agency_pos,power_agent,condemns,,condemn
conducts,agency_pos,power_agent,conducts,,conduct
confers,agency_pos,power_equal,confers,,confer
confesses,agency_pos,power_equal,confesses,,confess
confines,agency_pos,power_agent,confines,,confine
confirms,agency_pos,power_equal,confirms,,confirm
confiscates,agency_pos,power_agent,confiscates,,confiscate
confronts,agency_pos,power_equal,confronts,,confront
confuses,agency_pos,power_agent,confuses,,confuse
congratulates,agency_equal,power_theme,congratulates,,congratulate
connects,agency_pos,power_agent,connects,,connect
conquers,agency_pos,power_agent,conquers,,conquer
considers,agency_neg,power_equal,considers,,consider
consists,agency_neg,power_theme,consists of,of,consist
consoles,agency_pos,power_equal,consoles,,console
constitutes,agency_neg,power_theme,constitutes,,constitute
constructs,agency_pos,power_agent,constructs,,construct
consults,agency_pos,power_theme,consults,,consult
consumes,agency_pos,power_agent,consumes,,consume
contacts,agency_pos,power_equal,contacts,,contact
contains,agency_pos,power_agent,contains,,contain
contaminates,agency_equal,power_agent,contaminates,,contaminate
contemplates,agency_neg,power_equal,contemplates,,contemplate
contests,agency_pos,power_agent,contests,,contest
continues,agency_pos,power_equal,continues,,continue
contorts,agency_pos,power_agent,contorts,,contort
contracts,agency_pos,power_theme,contracts,,contract
contradicts,agency_pos,power_agent,contradicts,,contradict
contrasts,agency_pos,power_equal,contrasts,,contrast
contributes,agency_pos,power_theme,contributes,,contribute
controls,agency_pos,power_agent,controls,,control
convenes,agency_pos,power_agent,convenes,,convene
converges,agency_equal,,converges,,converge
converses,agency_pos,,converses,,converse
converts,agency_pos,power_agent,converts,,convert
conveys,agency_pos,power_agent,conveys,,convey
convicts,agency_pos,power_agent,convicts,,convict
convinces,agency_pos,power_agent,convinces,,convince
convulses,agency_pos,power_agent,convulses,,convulse
cooks,agency_pos,power_equal,cooks,,cook
cools,agency_neg,power_equal,cools,,cool
cooperates,agency_equal,,cooperates,,cooperate
coordinates,agency_pos,power_agent,coordinates,,coordinate
copies,agency_pos,power_theme,copies,,copy
cops,agency_pos,power_agent,cops,,cop
corners,agency_pos,power_agent,corners,,corner
corrects,agency_pos,power_agent,corrects,,correct
corresponds,agency_neg,,corresponds,,correspond
corresponds,agency_equal,power_equal,corresponds with,with,correspond
costs,agency_pos,power_agent,costs,,cost
coughs,agency_equal,,coughs,,cough
counters,agency_pos,power_agent,counters,,counter
counts,agency_equal,power_equal,counts,,count
courses,agency_equal,,courses,,course
courts,agency_equal,power_equal,courts,,court
covers,agency_pos,power_agent,covers,,cover
cowers,agency_neg,,cowers,,cower
crackles,agency_pos,power_agent,crackles,,crackle
cracks,agency_pos,power_agent,cracks,,crack
cradles,agency_pos,power_agent,cradles,,cradle
crams,agency_pos,power_theme,crams,,cram
cranes,agency_pos,power_equal,cranes,,crane
cranks,agency_pos,power_agent,cranks,,crank
crashes,agency_pos,power_agent,crashes,,crash
crawls,agency_pos,,crawls,,crawl
creaks,agency_equal,,creaks,,creak
creates,agency_pos,power_agent,creates,,create
credits,agency_pos,power_theme,credits,,credit
creeps,agency_equal,,creeps,,creep
crests,agency_equal,,crests,,crest
cries,agency_equal,,cries,,cry
cringes,agency_neg,,cringes,,cringe
criticizes,agency_pos,power_agent,criticizes,,criticize
crops,agency_pos,power_agent,crops,,crop
crosses,agency_pos,power_agent,crosses,,cross
crosses,agency_pos,power_agent,crosses out,out,cross
crouches,agency_neg,,crouches,,crouch
crowds,agency_pos,power_agent,crowds,,crowd
crows,agency_pos,,crows,,crow
crucifies,agency_pos,power_agent,crucifies,,crucify
cruises,agency_pos,,cruises,,cruise
crumbles,agency_neg,,crumbles,,crumble
crumples,agency_pos,,crumples,,crumple
crunches,agency_pos,power_agent,crunches,,crunch
crushes,agency_pos,power_agent,crushes,,crush
cuddles,agency_equal,,cuddles,,cuddle
cuffs,agency_pos,power_agent,cuffs,,cuff
cultivates,agency_pos,power_agent,cultivates,,cultivate
cups,agency_pos,power_agent,cups,,cup
cures,agency_pos,power_agent,cures,,cure
curls,agency_pos,power_agent,curls,,curl
curses,agency_equal,power_agent,curses,,curse
curtains,agency_pos,power_equal,curtains,,curtain
curves,agency_neg,,curves,,curve
cuts,agency_pos,power_agent,cuts,,cut
dabs,agency_pos,power_equal,dabs,,dab
damages,agency_pos,power_agent,damages,,damage
dances,agency_pos,,dances,,dance
dangles,agency_pos,power_agent,dangles,,dangle
dares,agency_pos,power_agent,dares,,dare
darkens,agency_equal,power_equal,darkens,,darken
darts,agency_pos,,darts,,dart
dashes,agency_pos,,dashes,,dash
dates,agency_pos,power_equal,dates,,date
dawns,agency_neg,,dawns,,dawn
dazzles,agency_pos,power_agent,dazzles,,dazzle
deafens,agency_pos,power_agent,deafens,,deafen
deals,agency_pos,power_agent,deals,,deal
debates,agency_pos,power_equal,debates,,debate
decapitates,agency_pos,power_agent,decapitates,,decapitate
decays,agency_neg,,decays,,decay
decides,agency_pos,power_agent,decides,,decide
decks,agency_pos,power_equal,decks,,deck
declares,agency_pos,power_equal,declares,,declare
declines,agency_pos,power_agent,declines,,decline
decorates,agency_pos,power_equal,decorates,,decorate
decreases,agency_pos,power_agent,decreases,,decrease
dedicates,agency_pos,power_equal,dedicates,,dedicate
deems,agency_pos,power_agent,deems,,deem
deepens,agency_pos,power_equal,deepens,,deepen
defeats,agency_pos,power_agent,defeats,,defeat
defends,agency_pos,power_agent,defends,,defend
defers,agency_equal,power_theme,defers,,defer
defers,agency_neg,power_theme,defers to,to,defer
defies,agency_pos,power_agent,defies,,defy
defines,agency_pos,power_equal,defines,,define
deflates,agency_pos,power_agent,deflates,,deflate
deflects,agency_pos,power_agent,deflects,,deflect
delays,agency_pos,power_agent,delays,,delay
delights,agency_pos,power_theme,delights,,delight
delivers,agency_pos,power_agent,delivers,,deliver
demands,agency_pos,power_agent,demands,,demand
demolishes,agency_pos,power_agent,demolishes,,demolish
demonstrates,agency_pos,power_agent,demonstrates,,demonstrate
denies,agency_pos,power_agent,denies,,deny
denounces,agency_pos,power_agent,denounces,,denounce
dents,agency_pos,power_agent,dents,,dent
departs,agency_pos,power_theme,departs,,depart
depends,agency_neg,,depends,,depend
depends,agency_neg,power_theme,depends on,on,depend
depicts,agency_pos,power_agent,depicts,,depict
deploys,agency_pos,power_agent,deploys,,deploy
deposes,agency_pos,power_agent,deposes,,depose
deposits,agency_pos,power_agent,deposits,,deposit
depresses,agency_equal,power_agent,depresses,,depress
deprives,agency_pos,power_agent,deprives,,deprive
derives,agency_pos,power_equal,derives,,derive
descends,agency_pos,,descends,,descend
describes,agency_pos,power_equal,describes,,describe
deserts,agency_pos,power_agent,deserts,,desert
deserves,agency_neg,power_equal,deserves,,deserve
designates,agency_pos,power_agent,designates,,designate
designs,agency_pos,power_agent,designs,,design
desires,agency_neg,power_theme,desires,,desire
despises,agency_pos,power_equal,despises,,despise
destroys,agency_pos,power_agent,destroys,,destroy
detaches,agency_pos,power_agent,detaches,,detach
detains,agency_pos,power_agent,detains,,detain
